任務領域;詞彙;漢語拼音;詞類;編號
個人資料;出生;chūshēng ;Vp;501
個人資料;國;guó ;N;502
個人資料;不同;bùtóng ;Vs;503
個人資料;地址;dìzhǐ;N;504
個人資料;市;shì;N;505
個人資料;傳真;chuánzhēn ;N;506
個人資料;留言;liú​yán;Vi;507
個人資料;日期;rìqí ;N;508
個人資料;時間;shíjiān ;N;509
個人資料;鐘頭;zhōngtóu ;N;510
個人資料;晚;wǎn ;N;511
個人資料;夜;yè ;N;512
個人資料;禮拜;lǐbài ;N;513
個人資料;禮拜天;lǐbàitiān ;N;514
個人資料;前天;qiántiān ;N;515
個人資料;後天;hòutiān ;N;516
個人資料;從前;cóngqián ;N;517
個人資料;夏;xià ;N;518
個人資料;冬;dōng ;N;519
個人資料;秋;qiū ;N;520
個人資料;春;chūn ;N;521
個人資料;一會兒;yīhuǐér ;N;522
個人資料;不久;bùjiǔ ;N;523
個人資料;剛剛;gānggāng ;Adv;524
個人資料;剛才;gāngcái ;Adv;525
個人資料;當然;dāngrán ;Adv;526
個人資料;自己;zìjǐ ;N;527
個人資料;別人;biérén ;N;528
個人資料;年紀;niánjì ;N;529
個人資料;男人;nánrén ;N;530
個人資料;女人;nǚrén ;N;531
個人資料;大人;dàrén ;N;532
個人資料;老人;lǎorén ;N;533
個人資料;習慣;xíguàn ;N;534
個人資料;習慣 ;xíguàn ;Vs;535
個人資料;家庭;jiātíng ;N;536
個人資料;父親;fùqīn ;N;537
個人資料;母親;mǔqīn ;N;538
個人資料;父母;fùmŭ ;N;539
個人資料;爺爺;yéye;N;540
個人資料;奶奶;nǎinai ;N;541
個人資料;關係;guānxì ;N;542
個人資料;教堂;jiàotáng ;N;543
個人資料;好 ;hǎo ;Vs;544
個人資料;真 ;zhēn ;Vs;545
個人資料;最;zuì ;Adv;546
個人資料;更;gèng ;Adv;547
個人資料;愉快;yúkuài ;Vs;548
個人資料;開心;kāixīn ;Vs;549
個人資料;著急;zhāojí ;Vs;550
個人資料;擔心;dānxīn ;Vst;551
個人資料;生氣;shēngqì ;Vs-sep;552
個人資料;怕;pà ;Vst;553
個人資料;哭;kū ;Vi;554
個人資料;難過;nánguò ;Vs;555
個人資料;傷心;shāngxīn ;Vs-sep;556
個人資料;美;měi ;Vs;557
個人資料;美麗;měilì ;Vs;558
個人資料;聰明;cōngmíng ;Vs;559
個人資料;認真;rènzhēn ;Vs;560
個人資料;勇敢;yŏnggăn ;Vs;561
個人資料;禮貌;lĭmào ;N;562
個人資料;害羞;hàixiū ;Vs;563
個人資料;應該;yīnggāi ;Vaux;564
個人資料;相信;xiāngxìn ;Vst;565
個人資料;經驗 ;jīngyàn ;N;566
個人資料;關心;guānxīn ;Vst;567
個人資料;辛苦;xīnkǔ ;Vs;568
個人資料;願意;yuànyì ;Vaux;569
個人資料;心情;xīnqíng ;N;570
個人資料;幸福;xìngfú ;Vs;571
個人資料;可憐;kělián ;Vs;572
個人資料;差;chà ;Vs-pred;573
工作;職業;zhíyè ;N;574
工作;教師;jiàoshī ;N;575
工作;經理;jīnglǐ ;N;576
工作;記者;jìzhě ;N;577
工作;服務員/服務生;fú​wù​yuán/fúwùshēng ;N;578
工作;顧客;gùkè ;N;579
工作;教書;jiāoshū ;V-sep;580
工作;開會;kāihuì ;V-sep;581
工作;下班;xiàbān ;V-sep;582
工作;危險;wéixiǎn ;Vs;583
工作;安全;ānquán ;Vs;584
工作;安全 ;ānquán ;N;585
工作;成功;chénggōng ;Vs;586
工作;報告;bàogào ;V;587
工作;報告 ;bàogào ;N;588
工作;打算;dǎsuàn ;Vaux;589
工作;機會;jīhuì ;N;590
工作;當;dāng ;Prep;591
工作;如果;rúguǒ ;Conj;592
工作;計畫/計劃 ;jìhuà;V;593
工作;計畫;jìhuà ;N;594
工作;努力;nǔlì ;Vs;595
工作;管理;guănlǐ ;V;596
教育;學院;xuéyuàn ;N;597
教育;小學生;xiăoxuéshēng ;N;598
教育;大學生;dàxuéshēng ;N;599
教育;同學;tóngxué ;N;600
教育;校長;xiàozhǎng ;N;601
教育;放假;fàngjià;V-sep;602
教育;畢業;bìyè ;Vp-sep;603
教育;開學;kāixué ;Vp;604
教育;成績;chéngjī ;N;605
教育;學期;xuéqí ;N;606
教育;學費;xuéfèi ;N;607
教育;暑假;shŭjià ;N;608
教育;寒假;hánjià ;N;609
教育;服務;fúwù ;V;610
教育;宿舍;sùshè;N;611
教育;操場;cāochăng ;N;612
教育;校園;xiàoyuán ;N;613
教育;中文;zhōngwén ;N;614
教育;文化;wénhuà ;N;615
教育;語法;yǔfǎ ;N;616
教育;漢語;hànyǔ ;N;617
教育;書法;shūfă ;N;618
教育;班;bān ;M;619
教育;班 ;bān ;N;620
教育;書桌;shūzhuō ;N;621
教育;課;kè ;N;622
教育;字典;zìdiǎn ;N;623
教育;漢字;hànzì ;N;624
教育;鉛筆;qiānbǐ ;N;625
教育;尺;chǐ ;N;626
教育;毛筆;máobĭ ;N;627
教育;教;jiào ;V;628
教育;講;jiǎng ;V;629
教育;講話;jiǎnghuà ;V-sep;630
教育;告訴;gàosù ;V;631
教育;念/唸;niàn ;V;632
教育;練習 ;liànxí ;N;633
教育;討論;tǎolùn ;V;634
教育;認為;rènwéi ;V;635
教育;解釋;jiěshì ;N;636
教育;同意;tóngyì ;Vst;637
教育;了解/瞭解;liǎojiě ;Vst;638
教育;清楚;qīngchǔ ;Vs;639
教育;無聊;wúliáo ;Vs;640
教育;決定;juédìng ;Vp;641
教育;遍;biàn ;M;642
教育;交;jiāo ;V;643
教育;借;jiè ;V;644
教育;算;suàn ;V;645
教育;對;duì ;Vs;646
教育;錯;cuò ;Vp;647
教育;辦法;bànfǎ ;N;648
教育;方法;fāngfǎ ;N;649
教育;有用;yǒuyòng ;Vs;650
教育;進步;jìnbù ;Vp;651
教育;忘;wàng ;Vp;652
教育;記;jì ;V;653
房屋與家庭、環境;公寓;gōngyù ;N;654
房屋與家庭、環境;大樓;dàlóu ;N;655
房屋與家庭、環境;臥室;wòshì ;N;656
房屋與家庭、環境;花園;huāyuán ;N;657
房屋與家庭、環境;門口;ménkǒu ;N;658
房屋與家庭、環境;浴室;yùshì ;N;659
房屋與家庭、環境;樓梯;lóutī ;N;660
房屋與家庭、環境;牆;qiáng ;N;661
房屋與家庭、環境;洗衣機;xǐyījī ;N;662
房屋與家庭、環境;冰箱;bīngxiāng ;N;663
房屋與家庭、環境;燈;dēng ;N;664
房屋與家庭、環境;打開;dǎkāi ;Vp;665
房屋與家庭、環境;盒子;hézi;N;666
房屋與家庭、環境;鄰居;línjū ;N;667
房屋與家庭、環境;熱鬧;rènào ;Vs;668
房屋與家庭、環境;吵;chǎo ;Vs;669
房屋與家庭、環境;滿意;mǎnyì ;Vst;670
房屋與家庭、環境;乾淨;gānjìng ;Vs;671
房屋與家庭、環境;房租;fángzū ;N;672
房屋與家庭、環境;租;zū ;V;673
房屋與家庭、環境;開水;kāishuǐ ;N;674
房屋與家庭、環境;鄉下;xiāngxià ;N;675
房屋與家庭、環境;森林;sēnlín ;N;676
房屋與家庭、環境;地;dì ;N;677
房屋與家庭、環境;草;cǎo ;N;678
房屋與家庭、環境;枝;zhī ;M;679
房屋與家庭、環境;隻;zhī ;M;680
房屋與家庭、環境;動物;dòngwù ;N;681
房屋與家庭、環境;牛;niú ;N;682
房屋與家庭、環境;虎;hŭ ;N;683
房屋與家庭、環境;羊;yáng ;N;684
房屋與家庭、環境;豬;zhū ;N;685
房屋與家庭、環境;月亮;yuèliàng ;N;686
房屋與家庭、環境;星星;xīngxīng ;N;687
房屋與家庭、環境;雲;yún ;N;688
