詞彙;漢語拼音;詞類;編號
哎呀;āiya ;Ptc;2495
哎喲;āiyāo ;Ptc;2496
愛好;àihào ;N;2497
愛好;àihào ;Vst;2498
愛護;àihù ;Vst;2499
愛人;àirén ;N;2500
安慰;ānwèi ;V;2501
安裝;ānzhuāng ;V;2502
按;àn ;V;2503
按時;ànshí ;Adv;2504
暗;àn ;Vs;2505
暗中;ànzhōng ;Adv;2506
骯髒;āngzhāng ;Vs;2507
熬;áo ;V;2508
拔;bá ;V;2509
把;bă ;M;2510
把握;băwò ;N;2511
罷工;bàgōng ;Vi;2512
罷了;bàle ;Ptc;2513
擺脫;băituō ;V;2514
敗;bài ;Vp;2515
拜;bài ;V;2516
拜拜;bàibài ;Vi;2517
拜訪;bàifăng ;V;2518
拜年;bàinián ;V-sep;2519
拜託;bàituō ;V;2520
般;bān ;;2521
班;bān ;M;2522
班長;bānzhăng ;N;2523
搬運;bānyùn ;V;2524
拌;bàn ;V;2525
半路;bànlù ;N;2526
半數;bànshù ;Det;2527
辦公;bàngōng ;Vi;2528
辦事;bànshì ;Vi;2529
扮演;bànyăn ;V;2530
傍晚;bāngwăn ;N;2531
磅;bàng ;M;2532
棒;bàng ;M;2533
棒子;bàngzi ;N;2534
包裹;bāoguǒ;N;2535
包括;bāokuò ;Vst;2536
包裝;bāozhuāng ;N;2537
包裝;bāozhuāng ;V;2538
保;băo ;V;2539
保持;băochí;V;2540
保存;băocún;V;2541
保留;băoliú ;V;2542
保衛;băowèi ;V;2543
保障;băozhàng ;N;2544
保障;băozhàng ;V;2545
寶寶;băobao;N;2546
抱;bào ;Vst;2547
報;bào ;V;2548
報仇;bàochóu;V-sep;2549
報答;bàodá;Vpt;2550
報導;bàodăo;V;2551
報到;bàodào;Vi;2552
報警;bàojĭng ;V-sep;2553
報社;bàoshè ;N;2554
暴力;bàolì ;N;2555
暴躁;bàozào ;Vs;2556
爆炸;bàozhà ;Vp;2557
悲劇;bēijù ;N;2558
悲痛;bēitòng ;Vs;2559
倍;bèi ;N;2560
備;bèi ;V;2561
背面;bèimiàn ;N;2562
奔;bēn ;Vi;2563
奔跑;bēnpăo ;Vi;2564
本來;běnlái ;Vs-attr;2565
本領;běnlĭng;N;2566
本身;běnshēn ;N;2567
本土;běntŭ ;N;2568
笨重;bènzhòng ;Vs;2569
比;bĭ;V;2570
比方;bĭfāng ;N;2571
比方(說);bĭfāng(shūo);Vst;2572
比較;bǐjiào ;N;2573
比較;bĭjiào ;V;2574
比例;bĭlì ;N;2575
彼此;bĭcĭ ;N;2576
筆;bĭ;M;2577
筆記;bĭjì ;N;2578
筆試;bĭshì ;N;2579
筆試;bĭshì ;Vi;2580
閉;bì ;Vi;2581
必須;bìxū ;Vs-attr;2582
必要;bìyào ;N;2583
編;biān ;V;2584
扁;biăn ;Vs;2585
便;biàn ;Adv;2586
便利;biànlì ;Vs;2587
變動;biàndòng ;N;2588
變動;biàndòng ;Vp;2589
標題;biāotí ;N;2590
標誌;biāozhì ;N;2591
表格;biăogé ;N;2592
表情;biăoqíng ;N;2593
表揚;biăoyáng ;V;2594
冰;bīng ;Vs;2595
丙;bĭng ;N;2596
並;bìng ;Adv;2597
並;bìng ;Conj;2598
